SSPEC,PROC_NUMBER,MMNUMBER,RULESET,BS,PHI,BS DTGT,Units,TGOOD,Supply Ratio,GetLOTData
SRMB5,I9-13900T,99C4X0,OLB_7571,0,41,-41,0,12313,0,undefined
SRMB6,I9-13900,99C4X3,OLB_7571,1.11,17,-15.89,137,12313,0.07,undefined
SRMB7,I9-13900F,99C4X4,OLB_7571,4.29,9.93,-5.64,2153,50151,0.43,undefined
SRMB8,I7-13700K,99C4X7,OLB_7571,94.31,32.86,61.45,47297,50151,2.87,undefined
SRMB9,I7-13700KF,99C4X8,OLB_7571,98.46,42.89,55.57,49378,50151,2.3,undefined
SRMBA,I7-13700,99C4X9,OLB_7571,72.87,39.22,33.65,36547,50151,1.86,undefined
SRMBB,I7-13700F,99C4XD,OLB_7571,77.02,55.28,21.75,38628,50151,1.39,undefined
SRMBC,I7-13700T,99C4XK,OLB_7571,40.41,16.07,24.34,20266,50151,2.52,undefined
SRMBD,I5-13600K,99C4ZX,OLB_7571,94.31,76.14,18.17,47297,50151,1.24,undefined
SRMBE,I5-13600KF,99C501,OLB_7571,98.46,92.21,6.25,49378,50151,1.07,undefined
SRMBF,I5-13400,99C502,OLB_7571,94.59,97.26,-2.67,47440,50151,0.97,undefined
SRMBG,I5-13400F,99C503,OLB_7571,98.46,100,-1.54,49378,50151,0.98,undefined
SRMBH,I9-13900K,99C504,OLB_7571,93.72,0,93.72,11540,12313,null,undefined
SRMBJ,I9-13900KF,99C505,OLB_7571,26.75,0,26.75,13413,50151,null,undefined
SRMBX,I9-13900KS,99C522,OLB_7571,93.58,0,93.58,11523,12313,null,undefined
SRMBZ,I7-13790,99C537,OLB_7571,68.11,51.54,16.57,34159,50151,1.32,undefined
SRMG1,I9-13900TE,99C6JG,OLB_7571,0.24,58,-57.76,1,411,0,undefined
SRMG2,I9-13900E,99C6JH,OLB_7571,92.46,90,2.46,380,411,1.03,undefined
SRMG3,I7-13700E,99C6JJ,OLB_7571,100,97,3,411,411,1.03,undefined
SRMG4,I7-13700TE,99C6JK,OLB_7571,100,88,12,411,411,1.14,undefined
SRMG5,I5-13400E,99C6JL,OLB_7571,100,98,2,411,411,1.02,undefined
SRMG6,I5-13400EF,99C6JM,OLB_7571,100,100,0,411,411,1,undefined
SRMG7,I5-13400TEF,99C6JN,OLB_7571,100,99,1,411,411,1.01,undefined
SRN3U,I9-14900T,99CFDN,OLB_7571,10.09,7.84,2.25,23053,228560,1.29,undefined
SRN3V,I9-14900,99CFDP,OLB_7571,74.12,43.78,30.34,169410,228560,1.69,undefined
SRN3W,I9-14900F,99CFDT,OLB_7571,70.1,46.82,23.28,169600,241949,1.5,undefined
SRN3X,I7-14700K,99CFDW,OLB_7571,74.87,58.49,16.38,171132,228560,1.28,undefined
SRN3Y,I7-14700KF,99CFF1,OLB_7571,75.49,56.56,18.93,182650,241949,1.33,undefined
SRN3Z,I7-14700F,99CFF2,OLB_7571,75.49,77.26,-1.77,182650,241949,0.98,undefined
SRN40,I7-14700,99CFF3,OLB_7571,74.2,70.77,3.44,169600,228560,1.05,undefined
SRN41,I7-14700T,99CFF4,OLB_7571,18.03,9.51,8.52,41218,228560,1.9,undefined
SRN42,I5-14600KF,99CFF5,OLB_7571,76.26,96.83,-20.57,184521,241949,0.79,undefined
SRN43,I5-14600K,99CFF6,OLB_7571,75.16,94.76,-19.6,181840,241949,0.79,undefined
SRN44,I5-14600,99CFF7,OLB_7571,74.51,61.53,12.98,180267,241949,1.21,undefined
SRN45,I5-14600T,99CFF8,OLB_7571,18.11,9.6,8.51,43812,241949,1.89,undefined
SRN46,I5-14400,99CFF9,OLB_7571,76.26,95.81,-19.54,184521,241949,0.8,undefined
SRN47,I5-14400F,99CFFA,OLB_7571,76.26,99.09,-22.83,184521,241949,0.77,undefined
SRN48,I9-14900K,99CFFC,OLB_7571,59.01,10.81,48.2,134874,228560,5.46,undefined
SRN49,I9-14900KF,99CFFD,OLB_7571,55.74,10.6,45.15,134874,241949,5.26,undefined
SRN4A,I7-14790F,99CFFP,OLB_7571,75.49,77.28,-1.79,182650,241949,0.98,undefined
SRN7R,I9-14900KS,99CG5A,OLB_7571,66.91,0,66.91,152929,228560,null,undefined
SRNJC,I9-14901KE,99CHAT,OLB_7571,97.45,27.2,70.26,2141,2197,3.58,undefined
SRNJH,I9-14901E,99CHCA,OLB_7571,100,22.71,77.29,2197,2197,4.4,undefined
SRNJJ,I9-14901TE,99CHCC,OLB_7571,97.41,5.28,92.13,2140,2197,18.45,undefined
SRNJK,I7-14701E,99CHCD,OLB_7571,100,31.4,68.6,2197,2197,3.18,undefined
SRNJL,I7-14701TE,99CHCF,OLB_7571,100,26.68,73.32,2197,2197,3.75,undefined
SRNJM,I5-14501E,99CHCG,OLB_7571,100,65.16,34.84,2197,2197,1.53,undefined
SRNJN,I5-14501TE,99CHCH,OLB_7571,100,85.23,14.77,2197,2197,1.17,undefined
SRNJP,I5-14401TE,99CHCJ,OLB_7571,100,97.59,2.41,2197,2197,1.02,undefined
SRNJQ,I5-14401EF,99CHCK,OLB_7571,100,100,0,2197,2197,1,undefined
SRNJR,I5-14401TEF,99CHCL,OLB_7571,100,100,0,2197,2197,1,undefined
SRNJS,I5-14401E,99CHCM,OLB_7571,100,97.59,2.41,2197,2197,1.02,undefined
SRQAG,I5-14550,99CMK2,OLB_7571,75.16,94.76,-19.6,181840,241949,0.79,undefined
SRQAH,I5-14550F,99CMK3,OLB_7571,76.26,96.83,-20.57,184521,241949,0.79,undefined
